Word (he),Word (en),Root,Part of speech,Binyan,Meaning
אָב,av,[],Noun,masculine,father
אַבָּא,aba,[],Noun,"dad, father",
אֲבִיבִי,avivi,"['א', 'ב', 'ב']",Adjective,"spring-like, vernal",
אֵב,ev,"['א', 'ב', 'ב']",Noun,"ketel pattern, masculine","bud, shoot (of a plant) (lit.)"
אָבִיב,aviv,"['א', 'ב', 'ב']",Noun,"katil pattern, masculine",spring (season)
אֲבֵידָה,aveda,"['א', 'ב', 'ד']",Noun,"ktela pattern, feminine","loss; (in plural) casualties, losses"
לֶאֱבוֹד,le'evod,"['א', 'ב', 'ד']",Verb,pa'al,"to be lost, to stray, to perish"
לְהֵיאָבֵד,lehe'aved,"['א', 'ב', 'ד']",Verb,nif'al,"to be lost, to perish"
לְהִתְאַבֵּד,lehit'abed,"['א', 'ב', 'ד']",Verb,hitpa'el,to commit suicide
אִיבּוּד,ibud,"['א', 'ב', 'ד']",Noun,"kittul pattern, masculine","loss, disappearance"
הִתְאַבְּדוּת,hit'abdut,"['א', 'ב', 'ד']",Noun,"hitkattlut pattern, feminine",suicide
לְהַאֲבִיד,leha'avid,"['א', 'ב', 'ד']",Verb,hif'il,"to destroy, to demolish, to cause utter loss"
אֲבֵדָה,aveda,"['א', 'ב', 'ד']",Noun,"ktela pattern, feminine",loss
אָבוּד,avud,"['א', 'ב', 'ד']",Adjective,katul pattern,lost; hopeless
לְאַבֵּד,le'abed,"['א', 'ב', 'ד']",Verb,pi'el,"to lose, to destroy"
אֲבַדּוֹן,avadon,"['א', 'ב', 'ד']",Noun,"destruction, devastation",
אָבוֹקָדוֹ,avokado,[],Noun,masculine,🥑 avocado
אַבְזָם,avzam,[],Noun,masculine,buckle (of a belt)
לְאַבְזֵר,le'avzer,"['א', 'ב', 'ז', 'ר']",Verb,pi'el,"to equip, fit out"
אִיבְחוּן,ivchun,"['א', 'ב', 'ח', 'ן']",Noun,"kittul pattern, masculine","check, diagnosis; diagnostics"
לְאַבְחֵן,le'avchen,"['א', 'ב', 'ח', 'ן']",Verb,pi'el,"to diagnose, to analyse"
לְאַבְטֵחַ,le'avteach,"['א', 'ב', 'ט', 'ח']",Verb,pi'el,"to secure, to protect"
אִיבְטוּחַ,ivtuach,"['א', 'ב', 'ט', 'ח']",Noun,"kittul pattern, masculine","protection, guarding, securing"
אֲבַטִּיחַ,avatiach,[],Noun,masculine,watermelon
אַבְטִיפּוּס,avtipus,[],Noun,prototype,
לֶאֱבוֹת,le'evot,"['א', 'ב', 'ה']",Verb,pa'al,"to desire, to want (archaic)"
אֲבִיזָר,avizar,[],Noun,masculine,accessory
