Word (he),Word (en),Root,Part of speech,Binyan,Meaning
לֶאֱבוֹד,le'evod,"['א', 'ב', 'ד']",Verb,pa'al,"to be lost, to stray, to perish"
לְהֵיאָבֵד,lehe'aved,"['א', 'ב', 'ד']",Verb,nif'al,"to be lost, to perish"
לְהִתְאַבֵּד,lehit'abed,"['א', 'ב', 'ד']",Verb,hitpa'el,to commit suicide
לְהַאֲבִיד,leha'avid,"['א', 'ב', 'ד']",Verb,hif'il,"to destroy, to demolish, to cause utter loss"
לְאַבֵּד,le'abed,"['א', 'ב', 'ד']",Verb,pi'el,"to lose, to destroy"
לְאַבְזֵר,le'avzer,"['א', 'ב', 'ז', 'ר']",Verb,pi'el,"to equip, fit out"
לְאַבְחֵן,le'avchen,"['א', 'ב', 'ח', 'ן']",Verb,pi'el,"to diagnose, to analyse"
לְאַבְטֵחַ,le'avteach,"['א', 'ב', 'ט', 'ח']",Verb,pi'el,"to secure, to protect"
לֶאֱבוֹת,le'evot,"['א', 'ב', 'ה']",Verb,pa'al,"to desire, to want (archaic)"
לֶאֱבוֹל,le'evol,"['א', 'ב', 'ל']",Verb,pa'al,"to grieve, to mourn (על) (lit.)"
לְהִתְאַבֵּל,lehit'abel,"['א', 'ב', 'ל']",Verb,hitpa'el,"to mourn, to grieve (על)"
לְהִתְאַבֵּן,lehit'aben,"['א', 'ב', 'ן']",Verb,hitpa'el,to turn into stone
לְאַבֵּן,le'aben,"['א', 'ב', 'ן']",Verb,pi'el,"to petrify, to turn to stone; to immobilize, to stun"
לְהַאֲבִיס,leha'avis,"['א', 'ב', 'ס']",Verb,hif'il,to feed (livestock)
לְהֵיאָבֵק,lehe'avek,"['א', 'ב', 'ק']",Verb,nif'al,"to struggle, to wrestle"
לְהִתְאַבֵּק,lehit'abek,"['א', 'ב', 'ק']",Verb,hitpa'el,"to wrestle, to struggle"
לְהִתְאַבֵּק,lehit'abek,"['א', 'ב', 'ק']",Verb,hitpa'el,to become dusty
לְאַבֵּק,le'abek,"['א', 'ב', 'ק']",Verb,pi'el,"to powder, to grind to dust"
לְהַאֲבִיק,leha'avik,"['א', 'ב', 'ק']",Verb,hif'il,to pollinate
לֶאֱגוֹד,le'egod,"['א', 'ג', 'ד']",Verb,pa'al,"to bind together, to tie up (lit.); to unite"
לְהִתְאַגֵּד,lehit'aged,"['א', 'ג', 'ד']",Verb,hitpa'el,"to unite, to form a union"
לְאַגֵּד,le'aged,"['א', 'ג', 'ד']",Verb,pi'el,"to unite, to join together"
לְהֵיאָגֵד,lehe'aged,"['א', 'ג', 'ד']",Verb,nif'al,"to be bound together, united"
לֶאֱגוֹף,le'egof,"['א', 'ג', 'ף']",Verb,pa'al,to outflank
לְאַגֵּף,le'agef,"['א', 'ג', 'ף']",Verb,pi'el,to outflank
לֶאֱגוֹר,le'egor,"['א', 'ג', 'ר']",Verb,pa'al,"to stockpile, to store"
לְהֵיאָגֵר,lehe'ager,"['א', 'ג', 'ר']",Verb,nif'al,"to be collected, to accumulate"
לְהִתְאַגְרֵף,lehit'agref,"['א', 'ג', 'ר', 'ף']",Verb,hitpa'el,to box (to fight)
לְהִתְאַדּוֹת,lehit'adot,"['א', 'ד', 'ה']",Verb,hitpa'el,to evaporate; to disappear
לְאַדּוֹת,le'adot,"['א', 'ד', 'ה']",Verb,pi'el,"to vaporize, to evaporate; to simmer, to poach"
לְהַאֲדִים,leha'adim,"['א', 'ד', 'ם']",Verb,hif'il,"to become red, to redden, to blush"
לֶאֱהוֹב,le'ehov,"['א', 'ה', 'ב']",Verb,pa'al,to love
לְהִתְאַהֵב,lehit'ahev,"['א', 'ה', 'ב']",Verb,hitpa'el,to fall in love (with) (ב-)
לְהֵיאָהֵב,lehe'ahev,"['א', 'ה', 'ב']",Verb,nif'al,to be loved
לֶאֱהוֹד,le'ehod,"['א', 'ה', 'ד']",Verb,pa'al,"to sympathise (את), to support a sports team"
לֶאֱהוֹהַּ,le'ehoa(h),"['א', 'ה', 'ה']",Verb,pa'al,"to wail, to howl (rare)"
לְהָאִיט,leha'it,"['א', 'ו', 'ט']",Verb,hif'il,to slow down
